Team,Player,Transaction,Date
 Arizona,Matt Dickerson (DT),Added DT Matt Dickerson to the practice squad.,12/27/2021
 Arizona,Markus Golden (LB),Placed LB Markus Golden on IR/COVID-19 list.,12/27/2021
 Arizona,Sean Harlow (OL),Placed G Sean Harlow on IR/COVID-19 list.,12/27/2021
 Arizona,Rodney Hudson (OL),Activated C Rodney Hudson from the IR/COVID-19 list.,12/27/2021
 Arizona,Josh Mauro (DE),Reverted DB Josh Mauro to the practice squad.,12/27/2021
 Arizona,Kevin Peterson (CB),Reverted DB Kevin Peterson to the practice squad.,12/27/2021
 Arizona,Ryan Winslow (P),Reverted P Ryan Winslow to the practice squad.,12/27/2021
 Atlanta,Brandon Copeland (LB),Placed LB Brandon Copeland on IR/COVID-19 list.,12/27/2021
 Atlanta,Tyeler Davison (DL),Placed DT Tyeler Davison on IR/COVID-19 list.,12/27/2021
 Atlanta,Marvin Hall (WR),Reverted WR Marvin Hall to the practice squad.,12/27/2021
 Atlanta,Tajae Sharpe (WR),Placed WR Tajae Sharpe on IR/COVID-19 list.,12/27/2021
 Atlanta,James Vaughters (LB),Placed LB James Vaughters on IR/COVID-19 list.,12/27/2021
 Baltimore,Kenji Bahar (QB),Reverted QB Kenji Bahar to the practice squad.,12/27/2021
 Baltimore,Adrian Ealy (T),Removed T Adrian Ealy from the practice squad.,12/27/2021
 Baltimore,Robert Jackson (CB),Reverted DB Robert Jackson to the practice squad.,12/27/2021
 Baltimore,Tony Jefferson (DB),Reverted DB Tony Jefferson to the practice squad.,12/27/2021
 Baltimore,Jaryd Jones-Smith (G),Reverted T Jaryd Jones-Smith to the practice squad.,12/27/2021
 Baltimore,Isaiah Mack (NT),Reverted NT Isaiah Mack to the practice squad.,12/27/2021
 Baltimore,Reggie McKenzie (G),Reverted G Reggie McKenzie to the practice squad.,12/27/2021
 Baltimore,Pernell McPhee (LB),Activated LB Pernell McPhee from the IR/COVID-19 list.,12/27/2021
 Baltimore,Tony Poljan (TE),Reverted TE Tony Poljan to the practice squad.,12/27/2021
 Baltimore,Jordan Richards (S),Reverted DB Jordan Richards to the practice squad.,12/27/2021
 Baltimore,Jimmy Smith (CB),Activated DB Jimmy Smith from the IR/COVID-19 list.,12/27/2021
 Baltimore,Joe Thomas (LB),Reverted LB Joe Thomas to the practice squad.,12/27/2021
 Baltimore,Daryl Worley (DB),Reverted DB Daryl Worley to the practice squad.,12/27/2021
 Buffalo,Eli Ankou (DT),Reverted DT Eli Ankou to the practice squad.,12/27/2021
 Buffalo,Ike Boettger (G),Placed G Ike Boettger on IR.,12/27/2021
 Buffalo,Bobby Hart (T),Signed T Bobby Hart.,12/27/2021
 Buffalo,Bobby Hart (T),Reverted T Bobby Hart to the practice squad.,12/27/2021
 Buffalo,Isaiah Hodgins (WR),Reverted WR Isaiah Hodgins to the practice squad.,12/27/2021
 Buffalo,Cameron Lewis (DB),Placed DB Cameron Lewis on IR/COVID-19 list.,12/27/2021
 Buffalo,Breeland Speaks (DE),Removed DE Breeland Speaks from the practice squad.,12/27/2021
 Carolina,Matt Barkley (QB),Activated QB Matt Barkley from the IR/COVID-19 list.,12/27/2021
 Carolina,Reggie Bonnafon (RB),Reverted RB Reggie Bonnafon to the practice squad.,12/27/2021
 Carolina,Brian Burns (DE),Placed DE Brian Burns on IR/COVID-19 list.,12/27/2021
 Carolina,Madre Harper (CB),Reverted DB Madre Harper to the practice squad.,12/27/2021
 Carolina,Marquis Haynes (DE),Placed DE Marquis Haynes on IR/COVID-19 list.,12/27/2021
 Carolina,Frank Herron (DE),Reverted DE Frank Herron to the practice squad.,12/27/2021
 Carolina,Mike Horton (G),Reverted G Mike Horton to the practice squad.,12/27/2021
 Carolina,Phil Hoskins (DT),Placed DT Phil Hoskins on IR/COVID-19 list.,12/27/2021
 Carolina,Alex Kessman (K),Removed K Alex Kessman from the practice squad.,12/27/2021
 Carolina,Daviyon Nixon (DT),Placed DT Daviyon Nixon on IR/COVID-19 list.,12/27/2021
 Carolina,Matt Paradis (C),Placed C Matt Paradis on IR/COVID-19 list.,12/27/2021
 Carolina,C.J. Saunders (WR),Activated WR C.J. Saunders from the practice squad.,12/27/2021
 Carolina,C.J. Saunders (WR),Reverted WR C.J. Saunders to the practice squad.,12/27/2021
 Carolina,Stephen Sullivan (TE),Reverted TE Stephen Sullivan to the practice squad.,12/27/2021
 Carolina,Shaq Thompson (LB),Placed LB Shaq Thompson on IR/COVID-19 list.,12/27/2021
 Carolina,Brandon Zylstra (WR),Placed WR Brandon Zylstra on IR/COVID-19 list.,12/27/2021
 Chicago,Tashaun Gipson Sr. (DB),Activated DB Tashaun Gipson Sr. from the IR/COVID-19 list.,12/27/2021
 Chicago,Jesse James (TE),Activated TE Jesse James from the IR/COVID-19 list.,12/27/2021
 Chicago,Jaylon Johnson (DB),Activated DB Jaylon Johnson from the IR/COVID-19 list.,12/27/2021
 Chicago,Ledarius Mack (LB),Reverted LB Ledarius Mack to the practice squad.,12/27/2021
 Chicago,Ryan Nall (RB),Activated RB Ryan Nall from the IR/COVID-19 list.,12/27/2021
 Chicago,Dazz Newsome (WR),Reverted WR Dazz Newsome to the practice squad.,12/27/2021
 Chicago,Allen Robinson II (WR),Activated WR Allen Robinson II from the IR/COVID-19 list.,12/27/2021
 Chicago,Dee Virgin (DB),Reverted DB Dee Virgin to the practice squad.,12/27/2021
 Chicago,Nsimba Webster (WR),Reverted WR Nsimba Webster to the practice squad.,12/27/2021
 Chicago,Ryan Willis (QB),Reverted QB Ryan Willis to the practice squad.,12/27/2021
 Cincinnati,Brandon Allen (QB),Placed QB Brandon Allen on IR/COVID-19 list.,12/27/2021
 Cincinnati,Austin Calitro (LB),Signed LB Austin Calitro.,12/27/2021
 Cincinnati,Austin Calitro (LB),Reverted LB Austin Calitro to the practice squad.,12/27/2021
 Cincinnati,Mike Daniels (DT),Reverted DT Mike Daniels to the practice squad.,12/27/2021
 Cincinnati,Darius Phillips (CB),Placed DB Darius Phillips on IR/COVID-19 list.,12/27/2021
 Cincinnati,Noah Spence (DE),Reverted DE Noah Spence to the practice squad.,12/27/2021
 Cincinnati,Trent Taylor (WR),Reverted WR Trent Taylor to the practice squad.,12/27/2021
 Cleveland,Lawrence Cager (WR),Cut WR Lawrence Cager.,12/27/2021
 Cleveland,Jadeveon Clowney (DE),Activated DE Jadeveon Clowney from the IR/COVID-19 list.,12/27/2021
 Cleveland,Adrian Colbert (DB),Reverted DB Adrian Colbert to the practice squad.,12/27/2021
 Cleveland,Drew Forbes (G),Activated G Drew Forbes from the IR/COVID-19 list.,12/27/2021
 Cleveland,Miller Forristall (TE),Cut TE Miller Forristall.,12/27/2021
 Cleveland,Hjalte Froholdt (OL),Reverted G Hjalte Froholdt to the practice squad.,12/27/2021
 Cleveland,Ronnie Harrison Jr. (S),Activated DB Ronnie Harrison Jr. from the IR/COVID-19 list.,12/27/2021
 Cleveland,Troy Hill (CB),Activated DB Troy Hill from the IR/COVID-19 list.,12/27/2021
 Cleveland,Kareem Hunt (RB),Activated RB Kareem Hunt from the IR/COVID-19 list.,12/27/2021
 Cleveland,Joe Jackson (DE),Reverted DE Joe Jackson to the practice squad.,12/27/2021
 Cleveland,Elijah Lee (LB),Placed LB Elijah Lee on IR/COVID-19 list.,12/27/2021
 Cleveland,Malik McDowell (DT),Activated DT Malik McDowell from the IR/COVID-19 list.,12/27/2021
 Cleveland,Herb Miller (CB),Reverted DB Herb Miller to the practice squad.,12/27/2021
 Cleveland,Jovante Moffatt (S),Reverted DB Jovante Moffatt to the practice squad.,12/27/2021
 Cleveland,Nick Mullens (QB),Reverted QB Nick Mullens to the practice squad.,12/27/2021
 Cleveland,Chris Naggar (K),Reverted K Chris Naggar to the practice squad.,12/27/2021
 Cleveland,Alex Taylor (T),Placed T Alex Taylor on IR/COVID-19 list.,12/27/2021
 Cleveland,Curtis Weaver (DE),Reverted DE Curtis Weaver to the practice squad.,12/27/2021
 Cleveland,Jedrick Wills Jr. (T),Activated T Jedrick Wills Jr. from the IR/COVID-19 list.,12/27/2021
 Cleveland,Mack Wilson (LB),Activated LB Mack Wilson from the IR/COVID-19 list.,12/27/2021
 Dallas,Francis Bernard (LB),Placed LB Francis Bernard on IR/COVID-19 list.,12/27/2021
 Dallas,Kyron Brown (DB),Reverted DB Kyron Brown to the practice squad.,12/27/2021
 Dallas,Darian Thompson (S),Reverted DB Darian Thompson to the practice squad.,12/27/2021
 Denver,Quinn Bailey (T),Reverted T Quinn Bailey to the practice squad.,12/27/2021
 Denver,Andre Mintze (LB),Placed LB Andre Mintze on IR/COVID-19 list.,12/27/2021
 Denver,Javon Patterson (C),Removed C Javon Patterson from the practice squad.,12/27/2021
 Denver,Mike Purcell (NT),Placed NT Mike Purcell on IR/COVID-19 list.,12/27/2021
 Detroit,Tavante Beckett (LB),Reverted LB Tavante Beckett to the practice squad.,12/27/2021
 Detroit,Curtis Bolton (LB),Reverted LB Curtis Bolton to the practice squad.,12/27/2021
 Detroit,Jared Goff (QB),Activated QB Jared Goff from the IR/COVID-19 list.,12/27/2021
 Detroit,Josh Reynolds (WR),Placed WR Josh Reynolds on IR/COVID-19 list.,12/27/2021
 Detroit,Shane Zylstra (TE),Reverted TE Shane Zylstra to the practice squad.,12/27/2021
 Green Bay,Ben Braden (G),Placed G Ben Braden on IR/COVID-19 list.,12/27/2021
 Green Bay,Innis Gaines (S),Activated DB Innis Gaines from the practice squad.,12/27/2021
 Green Bay,Innis Gaines (S),Reverted DB Innis Gaines to the practice squad.,12/27/2021
 Green Bay,Tipa Galeai (LB),Placed DE Tipa Galeai on IR/COVID-19 list.,12/27/2021
